id;name;description;mark;status;add_rating;add_comments;use_filter;i18n
1;"Шаблон для товаров";"Шаблон для товаров";"Шаблон для товаров";1;1;1;1;1
2;"Шаблон для акций и скидок";"Шаблон для акций и скидок";discounts;1;1;1;1;1
3;"Шаблон для статей";"Шаблон для статей";article;1;1;1;1;1
4;"Шаблон для профиля пользователя";"Шаблон для профиля пользователя";profile;1;0;0;0;2
5;"Шаблон для выбора местоположения";"Допустимые поля: страна, регион, город. Используется в главном меню фронтенда, в модальном окне.";geo;1;;;0;1
6;"Шаблон для корзины";"Шаблон для корзины";basket;1;0;0;0;1
7;"Шаблон для комментариев";"Шаблон для комментариев";commens;1;0;0;0;2
