"id";"category";"message";"location";"hash"
61;"app";"Заголовок";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
62;"app";"Мета ключи";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
63;"app";"Мета описание";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
64;"app";"Аннотация";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
65;"app";"Содержание";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
66;"app";"Статус";"[""common/models/Document.php"",""common/models/User.php"",""common/models/Template.php""]";"bbbf1a6213b26440ece96aae93030f3d"
67;"app";"Папка?";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
68;"app";"Родитель";"[""common/models/Document.php"",""common/models/AuthItemChild.php""]";"bbbf1a6213b26440ece96aae93030f3d"
69;"app";"Шаблон";"[""common/models/Document.php"",""common/models/Field.php""]";"bbbf1a6213b26440ece96aae93030f3d"
70;"app";"Время создания";"[""common/models/Document.php"",""common/models/AuthItem.php"",""common/models/AuthRule.php"",""common/models/AuthAssignment.php"",""common/models/User.php"",""common/models/Like.php""]";"bbbf1a6213b26440ece96aae93030f3d"
71;"app";"Время изменения";"[""common/models/Document.php"",""common/models/AuthItem.php"",""common/models/AuthRule.php"",""common/models/AuthAssignment.php"",""common/models/User.php""]";"bbbf1a6213b26440ece96aae93030f3d"
72;"app";"Создал";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
73;"app";"Изменил";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
74;"app";"Доступ";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
75;"app";"Пользователь";"[""common/models/UserOauthKey.php"",""common/models/Visit.php"",""common/models/AuthAssignment.php"",""common/models/Like.php""]";"bbbf1a6213b26440ece96aae93030f3d"
76;"app";"Провайдер";"[""common/models/UserOauthKey.php""]";"bbbf1a6213b26440ece96aae93030f3d"
77;"app";"Прользователь провайдера";"[""common/models/UserOauthKey.php""]";"bbbf1a6213b26440ece96aae93030f3d"
78;"app";"Страница";"[""common/models/UserOauthKey.php""]";"bbbf1a6213b26440ece96aae93030f3d"
79;"app";"Описание";"[""common/models/AuthItem.php"",""common/models/Template.php""]";"bbbf1a6213b26440ece96aae93030f3d"
80;"app";"Правило";"[""common/models/AuthItem.php""]";"bbbf1a6213b26440ece96aae93030f3d"
81;"app";"Данные";"[""common/models/AuthItem.php"",""common/models/AuthRule.php""]";"bbbf1a6213b26440ece96aae93030f3d"
82;"app";"Тип поля";"[""common/models/Field.php""]";"bbbf1a6213b26440ece96aae93030f3d"
83;"app";"Обязательное";"[""common/models/Field.php""]";"bbbf1a6213b26440ece96aae93030f3d"
84;"app";"Уникальное";"[""common/models/Field.php""]";"bbbf1a6213b26440ece96aae93030f3d"
87;"app";"Дополнительные параметры";"[""common/models/Field.php""]";"bbbf1a6213b26440ece96aae93030f3d"
88;"app";"Дочерний";"[""common/models/AuthItemChild.php""]";"bbbf1a6213b26440ece96aae93030f3d"
89;"app";"Пользователь с введем адресом электронной почты не зарегистрирован";"[""common/models/forms/PasswordResetRequestForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
90;"app";"Электронная почта";"[""common/models/forms/PasswordResetRequestForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
91;"app";"{name} робот";"[""common/models/forms/PasswordResetRequestForm.php"",""common/models/forms/PasswordResetRequestForm.php"",""common/models/forms/SignupForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
92;"app";"Сброс пароля для {name}";"[""common/models/forms/PasswordResetRequestForm.php"",""common/models/forms/PasswordResetRequestForm.php"",""common/models/forms/SignupForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
93;"app";"Фото";"[""common/models/forms/UserForm.php"",""common/models/User.php""]";"bbbf1a6213b26440ece96aae93030f3d"
94;"app";"Пароль";"[""common/models/forms/UserForm.php"",""common/models/forms/SignupForm.php"",""common/models/forms/LoginForm.php"",""common/models/forms/ResetPasswordForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
95;"app";"Подтверждение пароля";"[""common/models/forms/UserForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
96;"app";"Роль";"[""common/models/forms/UserForm.php"",""common/models/extend/AuthItemExtend.php"",""common/models/extend/AuthItemExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
97;"app";"Данный Email уже зарегистрирован.";"[""common/models/forms/SignupForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
98;"app";"Подтверждение регистрации на сайте";"[""common/models/forms/SignupForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
99;"app";"Отсутствует код подтверждения.";"[""common/models/forms/EmailConfirm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
100;"app";"Неверный токен.";"[""common/models/forms/EmailConfirm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
101;"app";"Минимальная дата";"[""common/models/forms/FieldForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
102;"app";"Максимальная дата";"[""common/models/forms/FieldForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
103;"app";"Расширение файлов";"[""common/models/forms/FieldForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
104;"app";"Список не может быть пустым.";"[""common/models/forms/FieldForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
105;"app";"Список разрешений";"[""common/models/forms/AuthItemForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
106;"app";"Запомнить меня";"[""common/models/forms/LoginForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
107;"app";"Неправильная введен Email или Пароль.";"[""common/models/forms/LoginForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
108;"app";"Аккаунт не подтвержден. Проверьте Email.";"[""common/models/forms/LoginForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
109;"app";"Аккаунт заблокирован. Свяжитель с администратором.";"[""common/models/forms/LoginForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
110;"app";"Поле ""{field}"" обязательно для заполнения.";"[""common/models/forms/DocumentForm.php"",""common/models/forms/DocumentForm.php"",""common/models/forms/DocumentForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
114;"app";"Файлы могут иметь следующие расширения {extentions}";"[""common/models/forms/DocumentForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
122;"app";"Токен сброса не может быть пустым.";"[""common/models/forms/ResetPasswordForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
123;"app";"Не верный токен сброса пароля.";"[""common/models/forms/ResetPasswordForm.php""]";"bbbf1a6213b26440ece96aae93030f3d"
124;"app";"Английское название";"[""common/models/GeoCity.php"",""common/models/GeoRegion.php""]";"bbbf1a6213b26440ece96aae93030f3d"
125;"app";"ОКАТО";"[""common/models/GeoCity.php"",""common/models/GeoRegion.php""]";"bbbf1a6213b26440ece96aae93030f3d"
126;"app";"Регион";"[""common/models/GeoCity.php"",""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
127;"app";"Категория сообщения";"[""common/models/SourceMessage.php""]";"bbbf1a6213b26440ece96aae93030f3d"
128;"app";"Сообщение";"[""common/models/SourceMessage.php""]";"bbbf1a6213b26440ece96aae93030f3d"
129;"app";"Местонахождение";"[""common/models/SourceMessage.php""]";"bbbf1a6213b26440ece96aae93030f3d"
130;"app";"Хеш сообщения";"[""common/models/SourceMessage.php""]";"bbbf1a6213b26440ece96aae93030f3d"
132;"app";"Данные браузера";"[""common/models/Visit.php"",""common/models/Like.php""]";"bbbf1a6213b26440ece96aae93030f3d"
133;"app";"Имя";"[""common/models/User.php""]";"bbbf1a6213b26440ece96aae93030f3d"
134;"app";"Фамилия";"[""common/models/User.php""]";"bbbf1a6213b26440ece96aae93030f3d"
135;"app";"Ключ авторизации";"[""common/models/User.php""]";"bbbf1a6213b26440ece96aae93030f3d"
136;"app";"Хеш пароля";"[""common/models/User.php""]";"bbbf1a6213b26440ece96aae93030f3d"
137;"app";"Токен восстановления пароля";"[""common/models/User.php""]";"bbbf1a6213b26440ece96aae93030f3d"
138;"app";"Токен подтвердждения Email";"[""common/models/User.php""]";"bbbf1a6213b26440ece96aae93030f3d"
139;"app";"Пол";"[""common/models/User.php""]";"bbbf1a6213b26440ece96aae93030f3d"
140;"app";"Дата рождения";"[""common/models/User.php""]";"bbbf1a6213b26440ece96aae93030f3d"
141;"app";"Телефон";"[""common/models/User.php""]";"bbbf1a6213b26440ece96aae93030f3d"
142;"app";"Страна";"[""common/models/User.php"",""common/models/GeoRegion.php"",""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
143;"app";"Город";"[""common/models/User.php"",""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
144;"app";"Адрес";"[""common/models/User.php"",""common/models/extend/FieldExtend.php""]";"bbbf1a6213b26440ece96aae93030f3d"
145;"app";"Авторизован";"[""common/models/User.php""]";"bbbf1a6213b26440ece96aae93030f3d"
146;"app";"Имя файла";"[""common/models/ValueFile.php""]";"bbbf1a6213b26440ece96aae93030f3d"
147;"app";"Расширение";"[""common/models/ValueFile.php""]";"bbbf1a6213b26440ece96aae93030f3d"
148;"app";"Размер";"[""common/models/ValueFile.php""]";"bbbf1a6213b26440ece96aae93030f3d"
149;"app";"Путь к файлу";"[""common/models/ValueFile.php"",""common/models/Template.php""]";"bbbf1a6213b26440ece96aae93030f3d"
