id;name;type;is_required;error_required;is_unique;error_unique;min_val;max_val;error_value;min_str;max_str;error_length;params;mask;template_id
1;Страна;17;1;"Поле '{name}' обязательно для заполнения.";;"Поле '{name}' должно быть уникально.";;;"Поле '{name}' должно быть числом от {min_val} до {max_val}.";;;"Поле '{name}' должно содержать от {min_str} до {max_str} символов.";;;2
2;Регион;16;1;"Поле '{name}' обязательно для заполнения.";;"Поле '{name}' должно быть уникально.";;;"Поле '{name}' должно быть числом от {min_val} до {max_val}.";;;"Поле '{name}' должно содержать от {min_str} до {max_str} символов.";;;2
3;Город;15;1;"Поле '{name}' обязательно для заполнения.";;"Поле '{name}' должно быть уникально.";;;"Поле '{name}' должно быть числом от {min_val} до {max_val}.";;;"Поле '{name}' должно содержать от {min_str} до {max_str} символов.";;;2
4;Имя;5;1;"Поле '{name}' обязательно для заполнения.";;"Поле '{name}' должно быть уникально.";;;"Поле '{name}' должно быть числом от {min_val} до {max_val}.";;;"Поле '{name}' должно содержать от {min_str} до {max_str} символов.";;;3
5;Фамилия;5;1;"Поле '{name}' обязательно для заполнения.";;"Поле '{name}' должно быть уникально.";;;"Поле '{name}' должно быть числом от {min_val} до {max_val}.";;;"Поле '{name}' должно содержать от {min_str} до {max_str} символов.";;;3
6;Телефон;5;1;"Поле '{name}' обязательно для заполнения.";1;"Поле '{name}' должно быть уникально.";11;11;"Поле '{name}' должно быть числом от {min_val} до {max_val}.";;;"Поле '{name}' должно содержать от {min_str} до {max_str} символов.";;;3
7;Пол;8;1;"Поле '{name}' обязательно для заполнения.";;"Поле '{name}' должно быть уникально.";;;"Поле '{name}' должно быть числом от {min_val} до {max_val}.";;;"Поле '{name}' должно содержать от {min_str} до {max_str} символов.";;;3
8;"Дата рождения";12;1;"Поле '{name}' обязательно для заполнения.";;"Поле '{name}' должно быть уникально.";;1041379200;"Поле '{name}' должно быть числом от {min_val} до {max_val}.";;;"Поле '{name}' должно содержать от {min_str} до {max_str} символов.";;;3
